year,month,pr
2077,7,0.00011536549
2077,8,0.00010695482
2077,9,8.201115e-05
2077,10,6.035767e-05
2077,11,2.9974304e-05
2077,12,1.0745793e-05
2078,1,4.6621967e-06
2078,2,4.8304482e-06
2078,3,1.09778675e-05
2078,4,6.8945296e-06
2078,5,8.0264035e-06
2078,6,5.9621594e-05
2078,7,8.185638e-05
2078,8,8.6253785e-05
2078,9,8.9526424e-05
2078,10,4.0686184e-05
2078,11,2.7146696e-05
2078,12,1.6034815e-05
2079,1,1.0502819e-05
2079,2,3.6208967e-06
2079,3,5.075658e-06
2079,4,4.5316065e-06
2079,5,1.453793e-05
2079,6,8.406827e-05
2079,7,8.094391e-05
2079,8,9.656174e-05
2079,9,7.773088e-05
2079,10,3.977086e-05
2079,11,2.3104178e-05
2079,12,6.161908e-06
2080,1,4.1659514e-06
2080,2,3.4147429e-06
2080,3,2.179558e-06
2080,4,5.7228426e-06
2080,5,2.3460678e-05
2080,6,5.011809e-05
2080,7,0.0001091454
2080,8,0.000102098835
2080,9,9.6229815e-05
2080,10,4.89596e-05
2080,11,2.5897692e-05
2080,12,1.5749298e-05
2081,1,5.2460146e-06
2081,2,1.2315983e-05
2081,3,6.0138577e-06
2081,4,6.02062e-06
2081,5,1.5357215e-05
2081,6,4.0466155e-05
2081,7,0.00010136439
2081,8,0.000113843766
2081,9,7.981735e-05
2081,10,5.9816943e-05
2081,11,4.417636e-05
2081,12,6.47721e-06
2082,1,6.9979565e-06
2082,2,4.574237e-06
2082,3,7.352425e-06
2082,4,5.6896897e-06
2082,5,8.2115475e-06
2082,6,4.0064268e-05
2082,7,0.00010081276
2082,8,0.00010672862
2082,9,9.543037e-05
2082,10,7.236381e-05
2082,11,3.0251274e-05
2082,12,1.40563025e-05
2083,1,1.0162164e-05
2083,2,1.2619039e-06
2083,3,3.4664645e-06
2083,4,8.430017e-06
2083,5,1.2392031e-05
2083,6,4.3205615e-05
2083,7,0.00010864918
2083,8,9.4667914e-05
2083,9,9.756429e-05
2083,10,6.1505794e-05
2083,11,1.3556212e-05
2083,12,2.924607e-05
2084,1,1.096594e-05
2084,2,1.5811378e-05
2084,3,1.3530414e-05
2084,4,9.376631e-06
2084,5,1.5146536e-05
2084,6,4.4015404e-05
2084,7,0.000108595144
2084,8,9.5054645e-05
2084,9,7.257802e-05
2084,10,6.408821e-05
2084,11,5.2722997e-05
2084,12,2.1203323e-05
2085,1,5.2980376e-06
2085,2,1.9479767e-06
2085,3,3.5361024e-06
2085,4,4.193523e-06
2085,5,3.0273137e-05
2085,6,4.4921886e-05
2085,7,0.0001031154
2085,8,0.0001191746
2085,9,6.640896e-05
2085,10,4.8590256e-05
2085,11,6.621645e-05
2085,12,2.2799113e-05
2086,1,7.0225683e-06
2086,2,2.8307934e-06
2086,3,2.7154133e-06
2086,4,4.8560337e-06
2086,5,1.6934015e-05
2086,6,6.335055e-05
2086,7,0.00011200459
2086,8,0.00010125798
2086,9,0.000113553506
2086,10,8.369722e-05
2086,11,3.8937713e-05
2086,12,1.4999606e-05
2087,1,2.2744141e-05
2087,2,1.0732729e-05
2087,3,1.0252272e-05
2087,4,7.2117905e-06
2087,5,5.080868e-05
2087,6,5.293513e-05
2087,7,0.00010351894
2087,8,0.000102946025
2087,9,0.00011273625
2087,10,9.44069e-05
2087,11,3.8378013e-05
2087,12,3.405433e-05
2088,1,6.155143e-06
2088,2,1.6426044e-05
2088,3,1.1214613e-05
2088,4,5.374912e-06
2088,5,2.2708044e-05
2088,6,6.4400774e-05
2088,7,9.994248e-05
2088,8,0.000102353646
2088,9,7.5808275e-05
2088,10,5.5804965e-05
2088,11,3.817661e-05
2088,12,6.778498e-06
2089,1,3.6780655e-06
2089,2,5.960796e-06
2089,3,6.4653877e-06
2089,4,9.581711e-06
2089,5,2.6975717e-05
2089,6,4.3111755e-05
2089,7,9.631472e-05
2089,8,0.0001232449
2089,9,0.000109848916
2089,10,4.192746e-05
2089,11,5.2336207e-05
2089,12,1.3985401e-05
2090,1,3.3914912e-06
2090,2,1.9225754e-06
2090,3,2.0828243e-06
2090,4,4.1951216e-06
2090,5,1.0462585e-05
2090,6,4.9208767e-05
2090,7,9.911566e-05
2090,8,8.703002e-05
2090,9,0.00010599249
2090,10,7.110494e-05
2090,11,5.2956246e-05
2090,12,1.9546433e-05
2091,1,9.086402e-06
2091,2,3.3235706e-06
2091,3,1.2844094e-05
2091,4,5.5023256e-06
2091,5,1.7368997e-05
2091,6,4.545421e-05
2091,7,8.3933635e-05
2091,8,9.398246e-05
2091,9,7.010089e-05
2091,10,5.154162e-05
2091,11,3.507423e-05
2091,12,1.6598116e-05
2092,1,1.2392504e-05
2092,2,4.750091e-06
2092,3,8.0318905e-06
2092,4,3.6990978e-06
2092,5,1.2516095e-05
2092,6,4.938384e-05
2092,7,8.6740525e-05
2092,8,9.789754e-05
2092,9,9.8729586e-05
2092,10,4.957448e-05
2092,11,2.9657547e-05
2092,12,1.2081694e-05
2093,1,9.140611e-06
2093,2,6.3509933e-06
2093,3,3.5913306e-06
2093,4,5.972593e-06
2093,5,1.814186e-05
2093,6,4.749478e-05
2093,7,0.00012961253
2093,8,9.520768e-05
2093,9,9.255879e-05
2093,10,6.7737754e-05
2093,11,4.512987e-05
2093,12,1.03391085e-05
2094,1,3.1394268e-06
2094,2,6.895253e-06
2094,3,7.5582348e-06
2094,4,1.301878e-05
2094,5,2.1041942e-05
2094,6,2.6102767e-05
2094,7,0.000117491036
2094,8,0.00011698864
2094,9,7.1665774e-05
2094,10,5.1345483e-05
2094,11,4.0673527e-05
2094,12,2.0315758e-05
2095,1,5.873582e-06
2095,2,3.519375e-06
2095,3,1.9989416e-06
2095,4,2.541358e-06
2095,5,5.552578e-06
2095,6,4.070637e-05
2095,7,0.00012650486
2095,8,0.0001018554
2095,9,9.7939585e-05
2095,10,4.61673e-05
2095,11,4.4385797e-05
2095,12,1.4918086e-05
2096,1,1.2234381e-05
2096,2,1.0150202e-05
2096,3,8.77262e-06
2096,4,7.5557464e-06
2096,5,8.067173e-06
2096,6,8.7342276e-05
2096,7,6.9793765e-05
2096,8,0.000115873976
2096,9,8.959935e-05
2096,10,6.3309504e-05
2096,11,3.713807e-05
2096,12,2.7047403e-05
2097,1,3.455771e-06
2097,2,5.0598305e-06
2097,3,2.0613743e-06
2097,4,3.4694801e-06
2097,5,1.3166522e-05
2097,6,3.736546e-05
2097,7,4.0423703e-05
2097,8,0.00012784617
2097,9,9.249269e-05
2097,10,6.952649e-05
2097,11,3.057857e-05
2097,12,2.3287588e-05
2098,1,8.190088e-06
2098,2,2.2934485e-06
2098,3,5.449913e-06
2098,4,5.881377e-06
2098,5,1.4516254e-05
2098,6,5.5363136e-05
2098,7,0.00013275389
2098,8,0.00010146789
2098,9,0.000100518126
2098,10,7.628261e-05
2098,11,4.784921e-05
2098,12,1.8916433e-05
2099,1,9.29063e-06
2099,2,1.1552908e-05
2099,3,7.266407e-06
2099,4,4.5745073e-06
2099,5,1.3015455e-05
2099,6,6.657579e-05
2099,7,9.61818e-05
2099,8,0.000104490144
2099,9,8.723125e-05
2099,10,4.4125358e-05
2099,11,3.708835e-05
2099,12,2.0195877e-05
2100,1,6.3907537e-06
2100,2,1.4210237e-06
2100,3,2.515632e-06
2100,4,3.5410483e-06
2100,5,1.677998e-05
2100,6,5.1332376e-05
2100,7,9.92967e-05
2100,8,0.00011558587
2100,9,9.64612e-05
2100,10,5.1068717e-05
2100,11,3.5775152e-05
2100,12,1.4456209e-05
